Left-Weight,Left-Distance,Right-Weight,Right-Distance,Class
12,21,34,45,2
12,21,35,41,2
12,21,35,42,2
12,21,35,43,2
12,21,35,44,2
12,21,35,45,2
12,22,31,41,3
12,22,31,42,3
12,22,31,43,3
12,22,31,44,1
12,22,31,45,2
12,22,32,41,3
12,22,32,42,1
12,22,32,43,2
12,22,32,44,2
12,22,32,45,2
12,22,33,41,3
12,22,33,42,2
12,22,33,43,2
12,22,33,44,2
12,22,33,45,2
12,22,34,41,1
12,22,34,42,2
12,22,34,43,2
12,22,34,44,2
12,22,34,45,2
12,22,35,41,2
12,22,35,42,2
12,22,35,43,2
12,22,35,44,2
12,22,35,45,2
12,23,31,41,3
12,23,31,42,3
12,23,31,43,3
12,23,31,44,3
12,23,31,45,3
12,23,32,41,3
12,23,32,42,3
12,23,32,43,1
12,23,32,44,2
12,23,32,45,2
12,23,33,41,3
12,23,33,42,1
12,23,33,43,2
12,23,33,44,2
12,23,33,45,2
12,23,34,41,3
12,23,34,42,2
12,23,34,43,2
12,23,34,44,2
12,23,34,45,2
12,23,35,41,3
12,23,35,42,2
12,23,35,43,2
12,23,35,44,2
12,23,35,45,2
12,24,31,41,3
12,24,31,42,3
12,24,31,43,3
12,24,31,44,3
12,24,31,45,3
12,24,32,41,3
12,24,32,42,3
12,24,32,43,3
12,24,32,44,1
12,24,32,45,2
12,24,33,41,3
12,24,33,42,3
12,24,33,43,2
12,24,33,44,2
12,24,33,45,2
12,24,34,41,3
12,24,34,42,1
12,24,34,43,2
12,24,34,44,2
12,24,34,45,2
12,24,35,41,3
12,24,35,42,2
12,24,35,43,2
12,24,35,44,2
12,24,35,45,2
12,25,31,41,3
12,25,31,42,3
12,25,31,43,3
12,25,31,44,3
12,25,31,45,3
12,25,32,41,3
12,25,32,42,3
12,25,32,43,3
12,25,32,44,3
12,25,32,45,1
12,25,33,41,3
12,25,33,42,3
12,25,33,43,3
12,25,33,44,2
12,25,33,45,2
12,25,34,41,3
12,25,34,42,3
12,25,34,43,2
12,25,34,44,2
12,25,34,45,2
12,25,35,41,3
12,25,35,42,1
12,25,35,43,2
12,25,35,44,2
12,25,35,45,2
13,21,31,41,3
13,21,31,42,3
13,21,31,43,1
13,21,31,44,2
13,21,31,45,2
13,21,32,41,3
13,21,32,42,2
13,21,32,43,2
13,21,32,44,2
13,21,32,45,2
13,21,33,41,1
13,21,33,42,2
13,21,33,43,2
13,21,33,44,2
13,21,33,45,2
13,21,34,41,2
13,21,34,42,2
13,21,34,43,2
13,21,34,44,2
13,21,34,45,2
13,21,35,41,2
13,21,35,42,2
13,21,35,43,2
13,21,35,44,2
13,21,35,45,2
13,22,31,41,3
13,22,31,42,3
13,22,31,43,3
13,22,31,44,3
13,22,31,45,3
13,22,32,41,3
13,22,32,42,3
13,22,32,43,1
13,22,32,44,2
13,22,32,45,2
13,22,33,41,3
13,22,33,42,1
13,22,33,43,2
13,22,33,44,2
13,22,33,45,2
13,22,34,41,3
13,22,34,42,2
13,22,34,43,2
13,22,34,44,2
13,22,34,45,2
13,22,35,41,3
13,22,35,42,2
13,22,35,43,2
13,22,35,44,2
13,22,35,45,2
13,23,31,41,3
13,23,31,42,3
13,23,31,43,3
13,23,31,44,3
13,23,31,45,3
13,23,32,41,3
13,23,32,42,3
13,23,32,43,3
13,23,32,44,3
13,23,32,45,2
13,23,33,41,3
13,23,33,42,3
13,23,33,43,1
13,23,33,44,2
13,23,33,45,2
13,23,34,41,3
13,23,34,42,3
13,23,34,43,2
13,23,34,44,2
13,23,34,45,2
13,23,35,41,3
13,23,35,42,2
13,23,35,43,2
13,23,35,44,2
13,23,35,45,2
13,24,31,41,3
13,24,31,42,3
13,24,31,43,3
13,24,31,44,3
13,24,31,45,3
13,24,32,41,3
13,24,32,42,3
13,24,32,43,3
13,24,32,44,3
13,24,32,45,3
13,24,33,41,3
13,24,33,42,3
13,24,33,43,3
13,24,33,44,1
13,24,33,45,2
13,24,34,41,3
13,24,34,42,3
13,24,34,43,1
13,24,34,44,2
13,24,34,45,2
13,24,35,41,3
13,24,35,42,3
13,24,35,43,2
13,24,35,44,2
13,24,35,45,2
13,25,31,41,3
13,25,31,42,3
13,25,31,43,3
13,25,31,44,3
13,25,31,45,3
13,25,32,41,3
13,25,32,42,3
13,25,32,43,3
13,25,32,44,3
13,25,32,45,3
13,25,33,41,3
13,25,33,42,3
13,25,33,43,3
13,25,33,44,3
13,25,33,45,1
13,25,34,41,3
13,25,34,42,3
13,25,34,43,3
13,25,34,44,2
13,25,34,45,2
13,25,35,41,3
13,25,35,42,3
13,25,35,43,1
13,25,35,44,2
13,25,35,45,2
14,21,31,41,3
14,21,31,42,3
14,21,31,43,3
14,21,31,44,1
14,21,31,45,2
14,21,32,41,3
14,21,32,42,1
14,21,32,43,2
14,21,32,44,2
14,21,32,45,2
14,21,33,41,3
14,21,33,42,2
14,21,33,43,2
14,21,33,44,2
14,21,33,45,2
14,21,34,41,1
14,21,34,42,2
14,21,34,43,2
14,21,34,44,2
14,21,34,45,2
14,21,35,41,2
14,21,35,42,2
14,21,35,43,2
14,21,35,44,2
14,21,35,45,2
14,22,31,41,3
14,22,31,42,3
14,22,31,43,3
14,22,31,44,3
14,22,31,45,3
14,22,32,41,3
14,22,32,42,3
14,22,32,43,3
14,22,32,44,1
14,22,32,45,2
14,22,33,41,3
14,22,33,42,3
14,22,33,43,2
14,22,33,44,2
14,22,33,45,2
14,22,34,41,3
14,22,34,42,1
14,22,34,43,2
14,22,34,44,2
14,22,34,45,2
14,22,35,41,3
14,22,35,42,2
14,22,35,43,2
14,22,35,44,2
14,22,35,45,2
14,23,31,41,3
14,23,31,42,3
14,23,31,43,3
14,23,31,44,3
14,23,31,45,3
14,23,32,41,3
14,23,32,42,3
14,23,32,43,3
14,23,32,44,3
14,23,32,45,3
14,23,33,41,3
14,23,33,42,3
14,23,33,43,3
14,23,33,44,1
14,23,33,45,2
14,23,34,41,3
14,23,34,42,3
14,23,34,43,1
14,23,34,44,2
14,23,34,45,2
14,23,35,41,3
14,23,35,42,3
14,23,35,43,2
14,23,35,44,2
14,23,35,45,2
14,24,31,41,3
14,24,31,42,3
14,24,31,43,3
14,24,31,44,3
14,24,31,45,3
14,24,32,41,3
14,24,32,42,3
14,24,32,43,3
14,24,32,44,3
14,24,32,45,3
14,24,33,41,3
14,24,33,42,3
14,24,33,43,3
14,24,33,44,3
14,24,33,45,3
14,24,34,41,3
14,24,34,42,3
14,24,34,43,3
14,24,34,44,1
14,24,34,45,2
14,24,35,41,3
14,24,35,42,3
14,24,35,43,3
14,24,35,44,2
14,24,35,45,2
14,25,31,41,3
14,25,31,42,3
14,25,31,43,3
14,25,31,44,3
14,25,31,45,3
14,25,32,41,3
14,25,32,42,3
14,25,32,43,3
14,25,32,44,3
14,25,32,45,3
14,25,33,41,3
14,25,33,42,3
14,25,33,43,3
14,25,33,44,3
14,25,33,45,3
14,25,34,41,3
14,25,34,42,3
14,25,34,43,3
14,25,34,44,3
14,25,34,45,1
14,25,35,41,3
14,25,35,42,3
14,25,35,43,3
14,25,35,44,1
14,25,35,45,2
15,21,31,41,3
15,21,31,42,3
15,21,31,43,3
15,21,31,44,3
15,21,31,45,1
15,21,32,41,3
15,21,32,42,3
15,21,32,43,2
15,21,32,44,2
15,21,32,45,2
15,21,33,41,3
15,21,33,42,2
15,21,33,43,2
15,21,33,44,2
15,21,33,45,2
15,21,34,41,3
15,21,34,42,2
15,21,34,43,2
15,21,34,44,2
15,21,34,45,2
15,21,35,41,1
15,21,35,42,2
15,21,35,43,2
15,21,35,44,2
15,21,35,45,2
15,22,31,41,3
15,22,31,42,3
15,22,31,43,3
15,22,31,44,3
15,22,31,45,3
15,22,32,41,3
15,22,32,42,3
15,22,32,43,3
15,22,32,44,3
15,22,32,45,1
15,22,33,41,3
15,22,33,42,3
15,22,33,43,3
15,22,33,44,2
15,22,33,45,2
15,22,34,41,3
15,22,34,42,3
15,22,34,43,2
15,22,34,44,2
15,22,34,45,2
15,22,35,41,3
15,22,35,42,1
15,22,35,43,2
15,22,35,44,2
15,22,35,45,2
15,23,31,41,3
15,23,31,42,3
15,23,31,43,3
15,23,31,44,3
15,23,31,45,3
15,23,32,41,3
15,23,32,42,3
15,23,32,43,3
15,23,32,44,3
15,23,32,45,3
15,23,33,41,3
15,23,33,42,3
15,23,33,43,3
15,23,33,44,3
15,23,33,45,1
15,23,34,41,3
15,23,34,42,3
15,23,34,43,3
15,23,34,44,2
15,23,34,45,2
15,23,35,41,3
15,23,35,42,3
15,23,35,43,1
15,23,35,44,2
15,23,35,45,2
15,24,31,41,3
15,24,31,42,3
15,24,31,43,3
15,24,31,44,3
15,24,31,45,3
15,24,32,41,3
15,24,32,42,3
15,24,32,43,3
15,24,32,44,3
15,24,32,45,3
15,24,33,41,3
15,24,33,42,3
15,24,33,43,3
15,24,33,44,3
15,24,33,45,3
15,24,34,41,3
15,24,34,42,3
15,24,34,43,3
15,24,34,44,3
15,24,34,45,1
15,24,35,41,3
15,24,35,42,3
15,24,35,43,3
15,24,35,44,1
15,24,35,45,2
15,25,31,41,3
15,25,31,42,3
15,25,31,43,3
15,25,31,44,3
15,25,31,45,3
15,25,32,41,3
15,25,32,42,3
15,25,32,43,3
15,25,32,44,3
15,25,32,45,3
15,25,33,41,3
15,25,33,42,3
15,25,33,43,3
15,25,33,44,3
15,25,33,45,3
15,25,34,41,3
15,25,34,42,3
15,25,34,43,3
15,25,34,44,3
15,25,34,45,3
15,25,35,41,3
15,25,35,42,3
15,25,35,43,3
15,25,35,44,3
15,25,35,45,1
