1
1	11	21	31	41	51	61	71	81
70	12	23	31	41	52	61	72	81
71	11	23	33	42	51	62	71	82
72	11	21	33	41	53	62	72	81
73	12	21	32	44	53	61	73	82
74	11	23	31	42	53	61	72	82
75	13	22	33	41	52	62	71	82
76	11	21	32	44	52	61	72	82
77	13	23	32	41	51	61	71	81
78	12	21	34	44	53	61	73	82
79	12	22	32	42	51	62	73	81
80	13	25	31	42	52	62	71	81
81	11	24	31	41	53	62	73	82
82	12	21	33	41	52	62	73	81
83	11	22	31	42	53	62	73	81
84	11	22	31	41	53	61	73	81
85	11	24	32	41	51	62	72	81
86	12	21	34	42	51	61	73	82
87	11	22	34	42	52	62	73	81
88	12	23	32	44	53	61	71	81
89	13	21	31	41	51	61	73	81
90	11	22	31	44	53	61	73	81
91	13	25	34	42	51	61	72	81
92	11	21	31	42	53	62	72	82
93	11	22	33	41	53	62	71	81
94	13	22	33	44	51	61	72	82
95	12	22	32	43	53	61	72	82
96	11	22	31	42	53	62	71	81
97	11	23	33	42	52	62	72	82
98	13	22	31	44	52	61	71	81
99	13	24	31	41	51	61	72	81
100	12	21	34	42	53	61	71	81
101	12	23	33	41	51	61	73	82
102	12	22	31	43	51	61	72	82
103	11	22	33	41	52	62	73	82
104	12	22	34	42	53	62	73	81
105	11	24	34	41	52	61	72	81
106	12	23	32	44	51	61	71	82
107	12	22	32	42	53	61	72	81
108	11	24	34	43	51	62	71	81
109	13	21	31	41	51	62	73	82
110	11	23	31	44	52	61	71	81
111	12	21	32	42	53	62	73	82
112	12	22	32	44	51	61	71	82
113	11	24	31	43	52	62	71	81
114	13	21	31	41	51	62	71	81
115	13	21	32	42	52	62	72	82
116	11	22	31	44	52	62	72	82
117	12	23	33	41	51	61	73	81
118	12	22	31	41	53	61	71	82
119	11	23	33	41	52	61	71	82
120	12	22	31	42	51	61	73	81
121	13	21	33	43	53	62	71	81
122	12	21	33	41	53	62	71	81
123	13	23	31	41	52	62	72	81
124	12	23	33	41	51	62	72	82
125	13	22	31	44	52	62	72	81
126	12	22	31	44	52	62	73	81
127	11	25	31	41	51	62	72	81
128	12	21	31	44	51	62	73	82
129	11	23	32	43	53	62	71	81
130	11	22	31	42	53	62	73	82
131	11	22	31	42	51	61	73	81
132	11	21	34	42	51	62	73	82
133	12	24	31	43	51	61	72	81
134	13	23	33	41	52	62	71	81
135	13	25	32	41	51	62	72	81
136	11	22	34	43	53	61	71	81
137	11	21	31	42	52	61	73	81
138	12	25	31	41	53	62	72	81
139	13	22	32	43	52	61	72	81
140	11	21	34	42	52	62	71	81
141	12	21	34	42	52	62	72	82
142	13	21	32	43	53	61	72	81
143	11	21	31	44	52	61	71	82
144	12	25	33	44	51	61	71	81
145	13	24	31	41	53	61	71	81
146	11	25	32	42	51	62	71	81
147	11	24	33	41	52	62	73	81
148	12	21	34	44	52	61	71	81
149	12	21	33	43	53	61	71	82
150	13	22	32	43	51	61	72	82
151	11	22	34	42	52	61	72	82
152	13	25	31	41	53	61	71	81
153	12	22	31	41	52	61	71	82
154	11	23	33	43	53	62	73	81
155	11	23	34	42	53	61	73	81
156	12	23	34	41	51	61	73	82
157	11	21	32	42	51	62	71	82
158	12	21	33	44	52	61	71	82
159	13	22	32	41	52	61	72	82
160	11	23	34	43	52	61	72	81
161	12	21	31	42	51	61	73	82
162	12	21	33	42	52	61	71	81
163	11	21	32	42	51	61	73	82
164	12	23	31	42	51	61	71	82
165	12	21	33	42	53	62	72	82
166	12	21	33	42	52	62	71	82
167	12	23	33	41	52	61	72	82
168	11	23	32	44	51	62	73	82
169	12	25	31	41	51	62	71	81
170	12	22	32	41	53	62	73	81
171	12	22	33	43	53	61	73	81
172	13	24	31	41	51	61	73	82
173	11	23	32	43	53	62	73	82
174	11	23	31	43	51	62	71	81
175	11	22	34	44	53	62	73	82
176	11	23	32	44	52	61	72	82
177	13	25	32	42	52	62	72	81
178	12	24	31	41	52	61	72	81
179	13	21	32	42	52	61	71	81
180	11	21	31	41	53	61	73	81
181	11	25	33	41	52	61	71	81
182	12	22	34	41	53	62	72	82
183	11	21	31	43	51	62	71	81
184	12	21	34	42	53	61	73	81
185	11	21	31	44	53	62	71	82
186	11	22	33	42	51	61	73	82
187	13	23	33	41	51	61	71	81
188	12	21	33	43	51	61	73	81
189	12	21	31	42	53	62	71	81
190	12	21	31	41	51	62	71	82
191	12	22	33	44	53	62	72	82
192	11	22	32	44	52	61	72	82
193	11	22	34	43	51	61	72	82
194	11	24	31	41	53	61	71	82
195	11	23	34	43	53	62	73	81
196	13	22	31	42	52	61	71	81
197	12	23	31	41	52	62	71	82
198	11	25	31	41	51	61	73	81
199	12	21	31	44	52	61	72	81
200	12	21	32	42	53	62	72	82
201	11	23	31	44	52	62	73	81
202	11	22	34	43	53	62	73	82
203	13	21	31	42	51	61	72	81
204	13	22	32	41	51	62	72	82
205	11	21	33	41	53	62	73	82
206	12	21	32	42	52	61	71	82
207	12	24	31	42	52	62	71	81
208	12	23	31	42	52	62	72	82
209	11	24	33	41	51	62	72	81
210	11	24	31	42	51	62	71	81
211	11	21	32	44	52	61	72	81
212	13	23	32	41	52	62	71	81
213	11	21	33	42	51	62	73	81
214	11	24	33	41	52	61	71	81
215	12	22	34	44	52	61	72	81
216	12	21	32	44	51	62	72	81
217	13	24	32	42	52	62	71	81
218	11	23	31	43	52	61	72	81
219	11	22	31	42	53	61	71	81
220	11	23	32	44	53	62	71	81
221	11	23	34	41	53	62	73	81
222	11	22	34	44	51	61	73	81
223	12	22	31	44	53	61	72	81
224	11	22	31	44	53	61	71	81
225	11	23	34	41	52	61	71	82
226	12	21	33	43	52	62	71	82
227	13	22	31	44	51	62	71	81
228	12	23	32	43	53	61	72	81
229	11	21	34	41	51	62	73	82
230	12	21	34	44	53	62	72	82
231	12	21	34	43	51	61	73	81
232	12	22	34	41	53	62	71	81
233	12	22	31	42	51	62	71	82
234	11	24	31	42	51	61	72	82
235	13	22	34	44	53	61	72	81
236	12	25	32	42	51	61	71	81
237	13	22	32	43	52	62	72	81
238	13	25	31	41	53	61	72	81
239	11	23	32	42	51	61	71	82
240	11	21	34	43	53	61	73	81
241	11	23	33	44	51	61	71	82
242	12	21	34	41	53	61	72	81
243	13	22	32	42	52	62	72	82
244	12	22	33	42	52	62	72	82
245	12	21	34	42	51	61	72	82
246	11	24	33	41	53	62	72	81
247	12	22	31	44	52	61	73	82
248	11	24	32	42	51	62	73	81
249	13	22	31	42	51	62	72	81
250	11	21	34	42	51	61	71	82
251	12	23	32	41	52	61	73	82
252	12	22	33	43	52	62	71	81
253	11	24	33	44	52	61	72	81
254	13	22	31	43	52	62	72	81
255	12	22	31	41	53	61	72	82
256	11	21	33	42	53	62	71	82
257	11	23	32	43	53	62	72	82
258	11	21	34	44	51	62	71	82
259	12	23	33	42	52	62	72	81
260	12	21	34	41	52	62	73	81
261	11	24	33	41	52	61	72	81
262	12	23	34	44	51	61	73	81
263	11	22	34	42	52	62	73	82
264	11	22	32	41	53	62	73	81
265	11	24	34	44	51	61	71	81
266	12	21	31	41	52	62	73	81
267	11	22	33	43	51	62	73	82
268	11	22	32	41	53	61	73	81
269	11	23	31	43	51	62	72	81
270	13	21	33	42	53	61	72	81
271	11	23	34	41	51	62	71	81
272	11	23	32	43	51	62	72	81
273	11	24	32	43	51	61	71	82
274	11	22	33	42	52	62	72	81
275	11	23	34	43	53	62	71	82
276	12	21	33	44	52	62	73	81
277	13	21	31	42	52	61	72	82
278	13	22	32	41	52	61	72	81
279	12	22	32	41	53	61	73	82
280	11	23	32	42	52	62	71	82
281	13	22	31	42	52	62	72	82
282	11	22	32	43	52	62	71	81
283	13	22	31	44	51	61	71	81
284	12	22	32	44	53	61	73	82
285	12	22	34	43	52	61	72	82
286	13	21	32	41	51	61	71	81
287	11	21	34	44	53	61	71	81
288	11	23	34	41	53	62	73	82
289	12	25	33	41	52	62	71	81
290	11	22	33	42	51	62	73	81
291	13	25	32	42	51	61	72	81
292	11	24	33	41	51	62	71	81
293	11	21	31	44	53	61	72	81
294	11	21	31	43	52	61	71	81
295	12	21	31	41	51	62	73	82
296	13	21	32	43	52	62	71	81
297	12	21	31	43	52	62	72	82
298	11	21	32	43	53	61	71	82
299	13	21	33	44	51	62	71	81
300	11	23	34	42	53	62	71	81
301	13	21	34	44	51	61	71	81
302	12	22	32	43	51	62	72	81
303	13	21	34	44	51	61	72	82
304	12	21	31	43	53	62	71	82
305	12	21	31	42	51	62	71	82
306	13	22	32	41	51	61	73	82
307	12	22	33	43	53	62	73	81
308	12	23	31	42	53	61	72	81
309	11	23	31	42	53	62	72	82
310	11	23	33	43	53	62	71	81
311	13	21	33	42	51	62	71	81
312	13	21	32	41	51	62	71	81
313	13	24	31	41	52	61	71	81
314	13	21	32	42	52	61	73	82
315	12	22	32	41	52	62	71	82
316	12	22	31	43	53	62	73	81
317	12	21	33	43	52	62	73	82
318	11	21	31	42	51	61	73	82
319	13	25	34	43	51	61	72	81
320	13	22	31	41	51	62	72	82
321	12	23	31	42	52	61	72	82
322	11	24	31	42	51	62	72	82
323	13	21	33	44	53	62	71	81
324	11	23	33	44	53	61	73	82
325	11	21	34	44	52	61	71	82
326	12	21	33	44	52	62	71	82
327	12	22	32	41	52	61	72	82
328	11	21	31	44	51	62	73	81
329	11	25	32	41	51	61	71	81
330	13	24	31	41	52	61	72	81
331	12	22	34	43	52	61	73	82
332	12	21	32	44	52	62	72	82
333	11	22	31	42	52	62	73	81
334	13	21	32	42	51	62	72	82
335	11	25	33	41	51	61	71	81
336	12	21	32	41	53	61	71	82
337	12	21	32	42	53	62	72	81
338	11	22	31	44	52	62	71	82
339	12	21	31	43	52	62	71	81
340	11	22	31	43	51	62	72	82
341	12	22	34	42	53	62	72	81
342	12	21	31	44	51	61	71	82
343	11	23	33	41	53	61	73	81
344	13	22	32	43	51	61	71	82
345	12	25	31	41	51	62	72	81
346	11	23	34	42	52	62	71	81
347	11	21	32	41	51	61	71	82
348	12	22	31	42	52	61	73	81
349	11	22	33	43	51	61	73	82
350	11	22	32	43	52	61	72	82
351	12	23	34	41	51	62	71	81
352	11	23	32	44	53	62	73	81
353	11	22	33	41	51	61	72	82
354	11	22	31	43	53	61	71	82
355	11	24	33	41	52	62	72	82
356	11	23	32	42	53	62	71	81
357	13	21	32	44	51	61	71	81
358	13	22	33	43	51	61	71	81
359	12	22	33	44	51	62	73	81
360	11	24	32	42	51	61	72	81
361	12	22	33	41	53	62	72	82
362	12	23	33	44	51	61	72	81
363	11	24	31	42	52	62	71	81
364	11	22	33	41	53	61	73	82
365	12	21	34	44	51	61	73	81
366	11	22	32	44	53	61	73	82
367	12	22	31	43	51	62	71	82
368	12	21	33	41	51	62	73	81
369	13	21	31	41	52	62	71	81
370	11	24	34	41	53	61	71	81
371	13	21	33	41	51	62	71	82
372	12	23	33	43	53	62	72	81
373	12	22	33	42	52	61	72	81
374	13	25	31	41	51	62	71	81
375	12	21	34	42	51	61	71	82
376	12	23	34	41	51	62	72	81
377	13	22	32	41	52	61	71	82
378	11	23	33	42	51	61	73	82
379	13	22	32	41	53	61	71	81
380	13	25	31	41	51	62	72	81
381	11	22	34	41	51	62	73	81
382	11	23	34	43	52	61	73	81
383	12	23	34	41	51	61	71	82
384	11	21	31	42	52	61	73	82
385	13	25	31	41	53	62	71	81
386	11	22	34	42	52	62	72	81
387	11	22	31	43	53	62	72	82
388	11	22	34	41	51	61	71	82
389	11	22	32	42	53	62	72	81
390	12	23	31	42	51	62	71	81
391	11	22	33	42	53	61	73	81
392	12	21	34	42	53	62	71	81
393	13	21	32	41	53	61	72	81
394	12	23	32	41	51	61	72	81
395	12	22	33	44	52	62	71	82
396	11	21	31	42	51	62	72	82
397	12	23	31	41	51	62	72	82
398	11	21	32	43	53	61	71	81
399	11	23	33	41	53	61	72	81
400	13	22	32	41	52	62	71	82
401	12	21	32	41	51	61	72	82
402	12	21	31	42	53	61	71	81
403	11	21	34	43	53	61	71	81
404	12	24	31	41	51	61	73	81
405	11	23	34	42	53	61	73	82
406	11	22	34	42	53	61	73	81
407	11	23	33	44	53	62	72	81
408	11	21	34	43	52	62	72	82
409	12	22	31	44	53	62	72	81
410	11	22	34	44	53	61	72	81
411	11	21	31	42	53	61	73	82
412	11	23	34	43	53	61	72	82
413	11	22	32	44	51	61	71	82
414	13	22	31	43	53	62	71	81
415	13	22	33	44	52	62	72	81
416	13	21	31	43	51	62	71	81
417	13	22	32	41	51	61	72	81
418	13	21	32	44	51	61	73	82
419	11	21	34	42	53	61	73	82
420	11	24	33	42	51	61	71	82
421	12	23	32	42	53	62	71	81
422	13	21	32	41	52	61	71	81
423	11	23	32	42	52	62	73	82
424	11	22	34	41	51	61	72	82
425	13	25	32	41	51	61	71	81
426	12	22	32	41	51	62	73	81
427	13	21	31	42	52	61	73	82
428	13	22	33	44	51	61	73	82
429	13	21	31	41	53	62	73	82
430	11	22	34	41	52	61	73	82
431	12	23	32	42	51	62	71	81
432	12	24	33	41	52	61	72	81
433	12	22	31	42	53	61	71	82
434	11	22	31	42	52	62	71	82
435	12	21	31	43	52	61	71	81
436	11	22	31	43	53	62	73	82
437	11	24	31	43	53	61	72	81
438	11	24	31	43	51	61	72	81
439	11	23	34	43	51	61	71	82
440	13	22	34	41	52	62	71	81
441	11	23	32	43	53	61	73	82
442	11	23	34	44	53	61	73	82
443	12	21	34	43	52	61	73	82
444	12	22	34	44	53	62	71	82
445	11	22	34	43	53	62	72	81
446	12	22	32	42	51	61	72	82
447	13	21	32	41	53	61	71	81
448	11	24	32	44	53	62	71	81
449	12	23	31	41	51	61	72	82
450	12	25	33	41	51	61	72	81
451	11	21	34	41	52	61	72	82
452	11	23	32	42	52	61	73	82
453	12	22	31	44	52	62	72	82
454	12	23	34	44	51	62	71	81
455	12	23	33	42	51	61	72	82
456	12	25	31	42	52	61	71	81
457	12	22	31	43	51	62	72	82
458	11	24	33	41	51	61	71	82
459	11	22	31	41	51	62	71	82
460	11	24	31	44	53	62	71	81
461	12	23	32	41	51	61	73	81
462	11	23	31	43	53	62	71	81
463	11	21	31	43	52	62	71	81
464	11	22	31	44	51	61	71	82
465	13	24	32	41	51	61	71	81
466	13	21	31	44	51	61	72	81
467	11	24	31	41	51	62	72	82
468	12	21	34	41	52	62	71	81
469	11	23	31	42	51	61	73	81
470	11	23	32	42	51	61	72	82
471	11	23	34	41	53	61	72	81
472	11	25	32	41	51	62	72	81
473	13	21	32	42	52	62	71	81
474	11	23	34	41	53	61	71	81
475	12	22	31	44	51	62	73	81
476	12	21	33	42	51	61	73	81
477	12	24	31	41	51	62	71	81
478	12	22	31	43	53	61	72	81
479	11	21	33	43	51	61	72	82
480	12	21	34	43	52	62	72	82
481	11	24	31	41	52	62	71	81
482	11	21	32	42	53	61	72	81
483	12	23	33	44	52	62	71	81
484	11	23	31	42	52	62	73	81
485	12	24	31	41	53	62	72	81
486	12	25	31	41	52	62	72	81
487	12	23	31	44	52	61	72	81
488	12	22	31	41	52	61	72	82
489	12	21	31	42	53	62	73	81
490	11	24	34	41	52	62	72	81
491	12	22	31	42	52	61	71	82
492	12	21	33	44	52	61	71	81
493	11	23	34	43	53	62	73	82
494	11	22	33	44	51	61	72	82
495	12	22	34	43	53	61	72	82
496	11	22	33	42	52	61	72	82
497	12	21	33	43	51	62	72	81
498	13	21	32	41	52	61	72	82
499	12	22	34	44	51	62	71	82
500	12	24	31	41	51	61	71	81
501	13	21	33	44	53	62	72	81
502	12	21	34	41	51	62	71	81
503	12	23	34	43	53	61	71	81
504	11	23	33	42	53	62	72	81
505	11	22	32	44	53	62	73	82
506	11	24	34	42	51	61	71	81
507	11	21	33	41	51	62	71	82
508	12	21	33	44	52	61	73	82
509	11	23	33	43	53	61	72	81
510	11	23	32	44	51	62	72	81
511	11	25	32	41	51	62	71	81
512	13	24	32	41	51	61	72	81
513	12	22	32	43	51	61	73	81
514	11	23	34	42	53	61	71	82
515	11	24	34	41	53	62	72	81
516	11	23	34	43	53	61	73	81
517	11	22	33	41	51	62	71	82
518	11	22	32	42	51	62	71	82
519	12	22	31	41	51	62	73	81
520	11	22	31	42	53	61	73	82
521	12	22	33	41	53	61	72	82
522	11	24	31	43	51	61	72	82
523	13	21	33	43	51	61	72	82
524	12	21	34	44	52	62	73	82
525	13	21	33	44	51	62	72	81
526	12	21	34	42	51	62	73	82
527	11	24	33	43	51	61	73	81
528	11	22	32	41	52	62	73	82
529	12	23	33	42	53	61	72	81
530	11	25	31	42	52	61	71	81
531	11	22	34	41	52	62	73	81
532	11	22	34	44	53	61	71	81
533	12	25	31	41	53	61	72	81
534	11	23	33	44	53	61	72	81
535	12	23	31	41	52	62	73	81
536	11	23	32	43	52	61	73	82
537	11	21	32	42	53	62	73	81
538	13	22	33	44	52	62	71	81
539	11	22	31	41	52	62	72	82
540	11	21	34	43	51	61	71	82
541	11	22	32	42	53	62	71	82
542	11	24	31	42	52	62	72	82
543	13	21	33	41	51	62	72	82
544	11	21	33	43	53	61	71	81
545	11	21	33	43	51	61	73	82
546	11	23	32	44	53	62	72	82
547	11	22	33	41	52	62	71	82
548	11	22	32	44	53	61	71	81
549	12	21	34	44	51	62	72	82
550	12	25	34	41	51	61	72	81
551	13	21	34	44	51	62	71	81
552	12	23	33	41	51	61	71	81
553	13	23	34	43	51	61	71	81
554	12	23	31	42	52	61	73	81
555	13	21	34	43	52	62	71	81
556	12	21	33	42	52	62	72	81
557	11	24	32	41	52	61	72	82
558	11	24	34	44	52	62	71	81
559	12	21	31	42	51	62	73	82
560	13	22	33	43	53	62	72	81
561	12	23	31	41	51	61	73	82
562	11	22	32	42	53	62	73	81
563	11	24	31	42	52	61	71	81
564	13	22	31	42	52	61	73	82
565	13	22	33	41	51	62	72	81
566	11	22	33	42	53	62	71	81
567	12	21	33	43	53	62	71	81
568	12	21	34	43	52	62	71	82
569	13	21	33	41	52	61	73	82
570	13	21	34	41	51	61	73	82
571	12	22	34	43	53	61	71	82
572	11	21	31	44	51	62	73	82
573	13	25	32	42	51	61	71	81
574	13	22	31	42	53	61	72	81
575	11	23	34	41	51	62	72	82
576	11	25	33	42	51	61	71	81
577	12	22	34	43	51	62	72	81
578	12	22	33	41	51	62	73	81
579	12	22	32	43	52	61	71	82
580	12	23	32	43	52	62	72	81
581	12	21	31	41	53	62	73	81
582	11	23	33	43	53	61	73	81
583	13	22	32	43	51	61	71	81
584	11	23	32	44	52	62	73	82
585	11	21	34	43	52	61	72	82
586	12	23	31	42	52	61	72	81
587	13	21	31	41	52	61	72	82
588	11	24	34	44	53	61	71	81
589	12	21	34	43	53	62	71	82
590	11	25	31	41	51	62	71	81
591	12	22	31	43	53	62	72	81
592	12	23	31	44	51	61	72	82
593	11	23	31	43	52	62	71	82
594	12	22	31	43	51	61	71	82
595	12	22	34	44	52	61	73	82
596	13	22	32	42	51	62	72	82
597	11	21	31	43	52	62	72	81
598	12	23	31	44	51	62	72	81
599	13	21	31	41	51	61	71	81
600	11	22	34	43	52	61	72	82
601	12	23	33	43	51	62	72	81
602	12	21	32	41	53	62	72	81
603	11	21	34	42	53	61	73	81
604	11	21	34	41	53	62	71	81
605	11	23	33	42	51	61	73	81
606	13	25	32	43	51	61	72	81
607	11	23	32	43	52	61	72	82
608	11	24	34	43	53	61	72	81
609	12	22	31	43	51	61	73	81
610	13	21	34	44	51	61	73	81
611	13	24	33	42	51	61	71	81
612	13	22	31	41	53	61	73	81
613	11	22	31	44	52	61	72	82
614	11	21	34	43	51	61	73	82
615	11	21	31	44	52	62	72	81
616	12	23	34	42	51	62	71	81
617	11	23	34	41	52	61	73	82
618	11	22	31	44	53	62	73	82
619	13	22	31	42	52	61	72	81
620	12	21	32	41	53	62	73	82
621	12	22	33	44	53	62	71	81
622	12	25	34	44	51	61	71	81
623	11	22	32	42	53	62	73	82
624	11	24	31	42	52	61	72	82
625	11	21	32	43	52	62	72	81
626	11	22	34	42	51	61	73	82
627	12	22	33	43	51	61	73	81
628	13	22	34	44	52	61	72	81
629	11	23	33	44	51	61	73	81
630	13	21	34	41	52	61	71	81
631	12	22	32	44	51	61	72	82
632	12	23	31	44	53	61	72	81
633	12	21	34	44	53	62	73	82
634	13	22	34	43	52	62	71	81
635	13	21	32	42	52	61	72	81
636	11	21	33	44	52	62	73	82
637	11	24	31	44	52	62	71	81
638	11	24	33	43	51	61	72	82
639	13	22	33	43	51	61	73	81
640	12	22	31	44	52	62	71	81
641	11	24	32	43	52	61	72	81
642	12	21	32	44	52	62	73	82
643	12	21	31	44	53	61	73	81
644	12	22	34	41	53	62	72	81
645	12	23	31	41	51	61	71	81
646	12	22	32	44	52	62	71	81
647	12	21	34	44	52	61	73	82
648	12	21	31	43	51	61	71	82
649	11	22	32	43	52	62	72	82
650	12	22	33	42	51	62	72	82
651	12	23	32	41	53	62	72	81
652	11	23	33	44	52	62	72	81
653	12	21	32	41	51	62	73	81
654	13	22	32	42	51	61	72	82
655	12	21	31	43	52	62	72	81
656	11	23	31	42	52	61	73	82
657	12	22	32	44	53	62	72	81
658	12	22	32	44	53	61	71	81
659	11	22	33	42	52	62	72	82
660	13	21	31	41	53	62	71	81
661	11	22	32	44	52	61	73	81
662	11	22	33	44	52	62	71	81
663	13	22	33	44	52	61	71	81
664	12	22	32	43	51	62	71	82
665	11	23	34	42	53	61	72	81
666	11	21	32	44	53	62	72	82
667	12	22	34	41	52	62	73	82
668	13	25	34	44	51	61	72	81
669	12	22	33	44	53	61	72	81
670	11	24	31	42	51	61	71	81
671	12	22	34	41	53	62	73	82
672	11	23	31	41	53	62	72	82
673	11	24	34	41	53	62	71	81
674	12	22	34	44	52	61	71	82
675	12	21	32	43	51	61	71	82
676	11	24	31	42	51	62	73	81
677	11	21	31	43	52	61	71	82
678	12	21	33	44	52	62	73	82
679	13	21	33	42	52	61	72	81
680	12	22	33	41	52	62	71	82
681	11	21	32	43	52	62	73	82
682	12	21	31	43	53	61	72	81
683	11	25	31	41	53	62	72	81
684	13	22	32	44	52	62	71	81
685	11	24	34	43	52	61	72	81
686	12	22	33	44	52	61	71	81
687	12	23	33	44	51	61	72	82
688	12	22	32	42	53	62	73	82
689	11	24	32	41	52	61	73	82
690	12	25	32	41	51	61	72	81
691	12	21	34	43	51	62	72	82
692	11	22	31	44	53	62	72	82
693	12	22	33	43	52	62	72	82
694	12	22	33	43	52	62	73	81
695	11	24	31	43	53	62	71	81
696	11	23	32	43	53	61	72	81
697	12	23	34	44	52	62	71	81
698	12	21	33	42	53	61	71	81
699	12	22	31	41	51	61	72	82
700	11	23	33	43	51	61	72	82
701	13	22	31	41	52	62	72	82
702	11	21	31	42	51	62	71	82
703	13	22	32	44	51	61	71	81
704	11	24	31	44	53	61	72	81
705	12	21	31	43	52	62	73	82
706	11	22	31	43	53	61	73	82
707	13	21	31	42	53	62	71	81
708	12	21	33	44	53	61	72	82
709	12	21	31	43	51	62	73	82
710	11	21	33	44	52	62	72	82
711	13	21	33	41	53	62	72	81
712	12	25	33	41	52	62	72	81
713	11	24	34	44	52	61	72	81
714	12	21	31	42	52	62	72	82
715	11	21	31	42	52	61	71	82
716	12	21	33	43	53	61	73	81
717	13	22	32	43	51	62	71	81
718	13	25	32	42	52	61	71	81
719	13	21	31	43	52	61	71	81
720	11	21	32	41	53	61	71	82
721	11	22	33	42	52	61	73	82
722	11	22	33	44	51	61	73	81
723	11	22	34	41	52	62	71	82
724	13	22	34	43	51	61	71	81
725	11	25	34	44	51	61	72	81
726	11	22	33	43	51	61	73	81
727	13	22	31	41	51	62	71	81
728	11	22	32	41	51	61	72	82
729	13	21	33	43	52	62	72	81
730	13	21	33	41	51	62	71	81
731	11	23	32	43	53	61	71	82
732	12	21	32	44	52	62	73	81
733	11	22	34	43	53	62	73	81
734	11	21	34	44	51	61	73	82
735	11	24	32	41	52	62	72	81
736	12	23	31	44	51	61	71	82
737	12	21	33	41	53	62	72	82
738	13	21	31	42	51	62	71	82
739	11	24	33	43	51	61	73	82
740	11	21	32	43	53	62	72	81
741	11	23	32	41	51	62	72	82
742	11	24	31	43	52	62	72	81
743	11	23	31	41	51	62	73	82
744	12	23	32	41	52	62	73	82
745	11	21	34	41	52	61	71	81
746	11	22	32	41	51	62	73	82
747	12	22	34	42	52	62	73	81
748	11	24	31	41	53	61	72	81
749	12	23	32	43	51	61	72	82
750	13	21	33	41	51	61	72	82
751	12	21	33	42	51	62	73	82
752	12	22	33	42	52	62	73	81
753	12	21	34	41	52	61	71	81
754	13	22	31	42	53	62	71	81
755	11	21	32	42	53	62	71	81
756	11	21	31	41	51	62	71	82
757	12	21	33	41	53	61	73	82
758	11	21	34	42	51	61	73	81
759	11	21	34	41	53	61	72	81
760	11	24	32	41	51	62	73	82
761	11	23	32	44	53	62	72	81
762	11	21	32	42	51	62	73	81
763	13	21	33	41	51	62	72	81
764	12	23	33	44	51	61	71	81
765	11	24	34	41	51	61	72	82
766	11	21	31	44	51	61	71	82
767	11	22	32	42	52	61	73	82
768	11	22	34	41	53	61	73	82
769	12	22	33	43	52	61	71	81
770	11	22	34	44	52	61	72	81
771	11	23	31	41	53	61	73	82
772	13	21	33	43	51	61	73	82
773	12	23	32	43	53	62	71	81
774	13	22	32	44	51	61	73	82
